region,area (km2)
Andhra Pradesh,275045
Arunachal Pradesh,83743
Assam,78438
Bihar,94163
Chhattisgarh,135191
Goa ,3702
Gujarat,196024
Haryana,44212
Himachal Pradesh,55673
Jammu & Kashmir,222236
Jharkhand,79714
Karnataka,191791
Kerala,38863
Madhya Pradesh,308245
Maharashtra,307713
Manipur,22327
Meghalaya,22429
Mizoram,21081
Nagaland,16579
Orissa,155707
Punjab,50362
Rajasthan,342239
Sikkim,7096
Tamil Nadu,130058
Telangana,112077
Tripura,10486
Uttar Pradesh,240928
Uttarakhand,53483
West Bengal,88752
A.& N.Islands,8249
Chandigarh,114
D.& N.Haveli,491
Daman & Diu,112
Delhi,1483
Lakshadweep,32
Puducherry ,479
