"","c.crops.state.unique.............","rains.state.unique"
"1","Andaman and Nicobar Islands","Andaman & Nicobar Islands"
"2","Andhra Pradesh","Assam & Meghalaya"
"3","Assam","Naga Mani Mizo Tripura"
"4","Chandigarh","Sub Himalayan West Bengal & Sikkim"
"5","Dadra and Nagar Haveli","Gangetic West Bengal"
"6","Goa","Orissa"
"7","Gujarat","East Uttar Pradesh"
"8","Haryana","West Uttar Pradesh"
"9","Jammu and Kashmir ","Haryana Delhi & Chandigarh"
"10","Karnataka","Jammu & Kashmir"
"11","Madhya Pradesh","West Rajasthan"
"12","Maharashtra","East Rajasthan"
"13","Manipur","West Madhya Pradesh"
"14","Meghalaya","East Madhya Pradesh"
"15","Mizoram","Gujarat Region"
"16","Nagaland","Saurashtra & Kutch"
"17","Odisha","Konkan & Goa"
"18","Puducherry","Madhya Maharashtra"
"19","Rajasthan","Matathwada"
"20","Sikkim","Vidarbha"
"21","Telangana ","Coastal Andhra Pradesh"
"22","Tripura","Telangana"
"23","Uttar Pradesh","Rayalseema"
"24","West Bengal","Coastal Karnataka"
"25","","North Interior Karnataka"
"26","","South Interior Karnataka"
"27","","Lakshadweep"
